LOTR,SW,HP
sword and sorcery,empire,forced perspective
villain,endangered princess,forehead scar
violence,epic,forest
war violence,escape,fred weasley character
warrior,escape pod,friend
witchcraft,evil empire,friendship
wizard,exhaust shaft,full length mirror
wizardry,exploding planet,game
,exploding ship,george weasley character
,exploding starfighter,ghost
,extraterrestrial,giant creature
,family dinner,giant humanoid
,family relationships,ginny weasley character
,famous line,girl
,famous opening theme,girl with long hair
,famous score,goblin
,farm,golden snitch
,farmboy,good versus evil
,farmer,grandfather clock
,female fighter,great hall
,fictional planet,gregory goyle character
,fictional war,gringotts wizarding bank
,fight,halloween
,film starts with text,handheld device
,flying ship,handheld lamp
,foot chase,hardcover book
,force choke,harp
,fourth part,harry potter character
,fraternal twins,harry potter movie franchise
,friends who live together,hat
,future,hereditary gift of witchcraft
,galactic empire,hermione granger character
,galactic war,hero
,galaxy,hobgoblin
,general,hospital wing
,genocide,human becoming an animal
,gold robot,husband wife relationship
,good man,identical twins
,good versus evil,immortality
,good vs evil,infirmary
,good woman,invisibility
,governor,invisibility cloak
,grand moff,james potter character
,grand moff tarkin character,key
,gun,know it all
,gun fight,lamp
,gun under a table,lavatory
,gunfight,letter
,gunfighter,levitating candle
,gunslinger,levitating object
,han solo character,levitation
,hand to hand combat,library
,handheld communicator,lifting a male into the air
,handheld weapon,lifting someone into the air
,hangar,lily potter character
,helmet,living portrait
,hermit,locomotive
,hero,lord voldemort character
,heroine,luggage trolley
,hitman,magic
,hologram,magic book
,holographic message,magic wand
,holographic projection,magical broomstick
,home,magical cloak
,honor,magical mirror
,hooded figure,magical newspaper
,hostage,mail delivery
,hovercar,male cousin
,human,male ghost
,human android relationship,male professor
,human being,male protagonist
,human female,man wears eyeglasses
,human in outer space,man with long hair
,human male,minerva mcgonagall character
,humanoid robot,mirror
,husband wife relationship,mirror does not reflect reality
,hyperspace,mission
,hyphen in title,molly weasley character
,hypnosis,money
,imperial governor,monster
,imperial star destroyer,mother son relationship
,imperial starship,motor vehicle
,imperial stormtrooper,mountain troll
,impersonating an enemy soldier,moving staircase
,impersonating an imperial stormtrooper,muggle
,impersonation,murder of a man
,incestuous kiss,musical instrument
,innocent deaths avenged,mystic
,insult,neville longbottom character
,interrogation,new school
,interrogation droid,new student
,interspecies relationship,newspaper
,invented language,night
,ithorian,night time
,jabba the hutt character,no opening credits
,jail cell,occult
,jawa,old bearded man
,jedi,oliver wood character
,jedi master,orchestral music score
,jedi mind trick,orphan
,jedi training,oversize chess set
,jet fighter,owl
,kiss,paralysis
,knight,passenger compartment
,landspeeder,passenger train carriage
,laser,percy weasley character
,laser cannon,pet as gift
,laser gun,petunia dursley character
,laser turret,poetry recitation
,laser weapon,portrait comes to life
,leather gloves,potion
,leitmotif,power
,lifted by the throat,pre teen
,lifting a male into the air,pre teen boy
,lifting an adult into the air,pre teen girl
,lifting someone into the air,pre teen witch
,lightsaber,pre teenage boy
,lightsaber battle,pre teenage girl
,lightsaber duel,pre teenager
,long time ago,prefect
,loss of arm,professor
,loss of family,projectile weapon
,loss of left arm,quidditch
,loss of right arm,rat
,lucasfilm,red haired boy
,luke skywalker character,red herring
,male alien,rescue
,male female relationship,reverse footage
,male protagonist,rodent
,marksman h combat remote,ron weasley character
,martial arts,rubeus hagrid character
,mask,scar
,mass murder,scar on the forehead
,medal,school
,medal ceremony,school dormitory
,message,school infirmary
,millennium falcon,school life
,mind control,school of magic
,mission,school prefect
,mixed martial arts,schoolboy
,moisture farmer,schoolgirl
,monster,scroll
,mouse droid,seamus finnigan character
,multiple versions,self sacrifice
,murder,sentient hat
,music by john williams,sentient object
,mysterious,serpent
,mysterious villain,severus snape character
,national film registry,shared universe
,neck breaking,slow motion scene
,no opening credits,snack trolley
,nomad,snake
,non human,snowy owl
,number in character's name,sorcerer
,number in title,sorting hat
,numbered sequel,spell
,obi wan kenobi character,stadium
,older hero,staircase
,opening crawl,station wagon
,orchestral music score,steam locomotive
,outer space,student
,part of trilogy,stuttering
,passenger,supernatural power
,pilot,surprise ending
,planet,surrey england
,planet killer,sword
,planet tatooine,taking notes
,planet viewed from outer space,talking animal
,plea,talking hat
,pleading,talking object
,pod,talking painting
,poetic justice,talking snake
,preemptive strike,teen angst
,princess,teacher
,princess heroine,teacher student relationship
,princess leia organa character,the number 713
,princess warrior,three headed dog
,prison,ticket
,prison escape,title spoken by character
,prisoner,toad
,protocol droid,train
,psychotronic film,train passenger car
,r2 d2 character,train platform
,rebel,train station
,rebel base,train ticket
,rebel starship,transformation
,rebellion,trapdoor
,reference to anakin skywalker,triumph bonneville
,reference to jabba the hutt,triumph motor company
,reference to the clone wars,troll
,reluctant hero,twin brothers
,repulsorcraft,twins
,rescue,umbrella
,reward,uncle nephew relationship
,robot,unicorn
,robot human relationship,unicorn blood
,rocky canyon,uniform
,rodian,untucked shirt flap
,roman numeral in title,vault
,sabotage,vauxhall
,saga,vauxhall cavalier
,sand,vauxhall motor vehicle
,sand dune,vauxhall vectra exstate
,sandcrawler,vehicle
,scanimate,vernon dursley character
,scavenger,villain
,science fantasy,vincent crabbe character
,self sacrifice,vine
,sequel,vivarium
,severed arm,wand
,shared universe,warner bros.
,ship,watercraft
,shoot first,white owl
,shootout,winged key
,shot with a laser gun,winged object
,shrinking room,witch
,sibling kiss,witchcraft
,single shot,wizard
,skeleton,woman in uniform
,slow motion scene,year 1992
,smoke,zoo
,smuggler,
,sniper,
,soldier,
,space,
,space battle,
,space bounty hunter,
,space opera,
,space pilot,
,space station,
,space travel,
,space war,
,space western,
,spacecraft,
,spacecraft cockpit,
,spaceport,
,spaceship,
,spaghetti western,
,special edition,
,spirit,
,star destroyer,
,starfighter,
,starfighter cockpit,
,starfighter pilot,
,starship battle,
,starship bridge,
,starship fleet,
,starship interior,
,starship pilot,
,stealing,
,stop motion animation,
,stormtrooper,
,stormtrooper character,
,strangulation,
,stun blast,
,subjective camera,
,suicide,
,sunset,
,super villain,
,super weapon,
,sword,
,sword and planet,
,sword and sorcery,
,sword duel,
,sword fight,
,swordsman,
,symphonic music score,
,talking droid,
,talking robot,
,tall alien,
,targeting screen,
,telekinesis,
,telepathy,
,the force,
,theft,
,tie advanced x1 starfighter,
,tie fighter,
,totalitarianism,
,tough girl,
,tough guy,
,tractor beam,
,translator,
,trash compactor,
,troubled production,
,tusken raider,
,twin,
,twin suns,
,two word title,
,uncle,
,uncle nephew relationship,
,underdog,
,vapor farmer,
,vehicle,
,victory,
,violence,
,walls close in,
,warp speed,
,warrior culture,
,weapon,
,weapon of mass destruction,
,weapons fire,
,wedge antilles character,
,white beard,
,wilhelm scream,
,wmd,
,wookiee,
,world destruction,
,wrist restraints,
,wuxia fiction,
,x wing,
,x wing starfighter,
,y wing starfighter,
,yavin the planet,
