composition delta_e
Si0.250000Mn0.500000Zr0.250000 -0.30682749
Cs0.250000La0.500000Os0.250000 0.67517827
Zn0.500000Hf0.250000Hg0.250000 0.085005829
Al0.500000Ru0.250000La0.250000 -0.18836213
B0.500000Ca0.250000U0.250000 0.56705085
As0.500000Cd0.250000Sb0.250000 0.27696555
Cd0.500000Eu0.250000U0.250000 0.23320206
Na0.500000Tm0.250000Au0.250000 0.13235
Na0.250000Pr0.500000Er0.250000 0.22350546
Pd0.500000Ce0.250000Np0.250000 -0.2768954
Na0.500000Ca0.250000Sb0.250000 -0.30368988
Ba0.500000Ce0.250000Pu0.250000 1.1789873
Ge0.500000Tl0.250000Np0.250000 0.27262827
Be0.250000Zr0.250000La0.500000 0.39947609
Sb0.250000Te0.500000Bi0.250000 0.1206972
Li0.250000Pm0.250000Np0.500000 0.86874047
Ti0.250000Ce0.500000Pr0.250000 3.4367675
Ru0.250000Pm0.500000Pb0.250000 -0.18599078
Ti0.250000Th0.250000Pa0.500000 0.37048752
Cr0.500000Ho0.250000Np0.250000 0.801153
O0.571400Na0.142900Ge0.142900Gd0.142900 -2.7416915
Pr0.250000Eu0.250000Tm0.500000 0.14287217
Pd0.250000Pm0.250000Sm0.500000 -0.072188342
Al0.500000Nb0.250000Gd0.250000 -0.092623404
Tc0.250000Rh0.500000Bi0.250000 0.29917955
Co0.250000Ge0.250000Y0.250000Os0.250000 -0.010741275
Li0.250000Rh0.500000Np0.250000 -0.36137099
Ni0.250000Nb0.250000Pa0.500000 0.10542713
O0.100000F0.600000Ti0.100000Ba0.200000 -3.935601
Cr0.250000Mn0.250000Cu0.250000In0.250000 0.43589764
Li0.250000Tc0.250000W0.500000 0.35091342
Co0.500000Te0.250000Hf0.250000 -0.066484307
Pr0.250000Yb0.500000Pb0.250000 -0.089983167
B0.500000Ga0.250000Ge0.250000 1.3329204
H0.636400Li0.030300N0.212100P0.030300S0.090900 -0.45301892
In0.500000Pr0.250000Dy0.250000 -0.4772948
Be0.250000Lu0.250000Pa0.500000 0.6087906
Eu0.250000Er0.500000Bi0.250000 -0.15593822
In0.250000Tm0.250000U0.500000 0.59543009
Co0.250000Hf0.250000Pt0.250000Pb0.250000 -0.20241652
H0.666700Ga0.166700Cs0.166700 -0.19665818
Si0.250000K0.250000Ag0.500000 0.40870476
Cu0.500000Ag0.250000Pb0.250000 0.20876881
Pm0.250000U0.250000Np0.500000 0.750881
Na0.500000Te0.250000Hg0.250000 -0.68250087
Li0.250000V0.250000W0.500000 0.39237836
H0.375000O0.375000Cr0.062500Rb0.187500 -1.5506677
Si0.250000Ge0.250000Nb0.500000 -0.14575228
Pd0.250000Tm0.500000Ac0.250000 0.028776148
Sr0.250000Sb0.250000Th0.500000 0.10715267
Cl0.666700Te0.333300 -0.54454237
Ho0.250000Pt0.250000Ac0.500000 -0.13596597
O0.600000Na0.200000Mn0.200000 -2.1802998
V0.250000Ni0.250000Os0.500000 0.02514346
Li0.250000Sc0.250000Co0.250000Ge0.250000 -0.46517348
Pm0.250000Tm0.500000Pa0.250000 0.32499436
Sb0.250000La0.500000Hg0.250000 -0.72795033
K0.250000Ge0.500000Sm0.250000 -0.075100353
Be0.250000Sc0.250000Ni0.250000Sn0.250000 -0.29906465
Cu0.500000Cs0.250000Gd0.250000 0.59771471
Rh0.500000La0.250000Np0.250000 -0.35292213
Nb0.250000Ag0.500000Pb0.250000 0.44663993
Al0.250000Fe0.500000Pb0.250000 0.29009721
N0.250000Pr0.750000 -0.19082098
Si0.250000Cr0.250000Re0.500000 -0.084099259
Nb0.250000Gd0.500000W0.250000 0.74028365
F0.750000Te0.125000Ba0.125000 -3.0811639
Mg0.250000Sc0.250000Hf0.500000 0.25360136
O0.600000Hf0.200000Pb0.200000 -2.9019087
O0.555600Mn0.222200Tl0.222200 -1.3863686
Zn0.500000Sb0.250000Yb0.250000 -0.25904001
Sc0.500000Zr0.250000Er0.250000 0.14302385
Li0.250000B0.250000Sc0.250000Mn0.250000 0.11756742
Cr0.250000Mn0.250000Co0.250000Pb0.250000 0.5227118
Ca0.250000V0.250000Ce0.500000 0.38146475
Cd0.333300Hf0.666700 -0.067759867
O0.500000Na0.250000Cr0.250000 -2.3357298
As0.250000Sn0.500000Dy0.250000 -0.11602774
Cu0.250000Pd0.500000Tb0.250000 -0.40990539
B0.222200O0.555600Pa0.222200 -1.0871577
Tb0.250000U0.750000 0.70728564
Pd0.250000Tb0.500000Er0.250000 0.21073231
K0.500000Rb0.250000Bi0.250000 -0.36453832
Ti0.250000Ga0.500000La0.250000 -0.29131133
Co0.500000Nb0.250000La0.250000 0.29187687
Mn0.250000Cu0.250000Ga0.250000Ta0.250000 0.031121705
Mg0.125000Mn0.125000Cu0.500000Ga0.250000 -0.087034534
As0.333300Ce0.333300Pt0.333300 -1.0062141
Li0.333300O0.500000Fe0.083300As0.083300 -2.01922
V0.250000Zn0.250000La0.500000 0.10812666
Cs0.250000W0.500000Th0.250000 2.1345966
Cu0.500000Pd0.250000Hf0.250000 -0.27070633
Ru0.250000Tb0.250000Er0.500000 0.23740099
Ca0.250000Ga0.250000Pu0.500000 0.16501622
Al0.250000Ca0.250000Cu0.500000 -0.11611784
S0.750000Ca0.250000 -0.68380581
P0.333300Ca0.333300Ag0.333300 -0.85861986
Fe0.750000Pr0.250000 0.24266131
Mn0.500000Ni0.250000La0.250000 0.40034022
V0.250000Te0.250000Np0.500000 0.43976464
Cu0.250000Er0.500000Tm0.250000 0.16669264
Ge0.500000In0.250000U0.250000 0.13527499
B0.250000In0.250000Pa0.500000 0.63626138
Li0.250000Fe0.250000Zn0.250000Au0.250000 -0.09648305
V0.250000Ga0.500000Sm0.250000 -0.1872016
Fe0.250000Tm0.250000Os0.500000 0.29162892
Cr0.250000Nb0.500000Pm0.250000 0.59515679
Se0.250000Ir0.750000 0.55871192
As0.250000Ba0.250000Ce0.500000 -0.12600458
O0.200000F0.600000P0.100000Sb0.100000 -2.5984293
Cd0.250000Pr0.500000Tl0.250000 -0.36496591
Ge0.250000Pr0.500000Pt0.250000 -0.79791167
Ge0.500000Nd0.250000Dy0.250000 -0.56966093
Cu0.250000Tb0.500000Tm0.250000 0.49655868
Rh0.250000Er0.250000Bi0.500000 -0.2088303
Ca0.250000Co0.500000La0.250000 0.21604777
Zr0.250000Tm0.250000Th0.500000 0.12108874
Gd0.625000Pt0.375000 -0.95984835
Sr0.250000Ho0.500000W0.250000 0.7253014
Cr0.250000Ge0.500000U0.250000 0.068359871
H0.153800O0.461500Cl0.076900Zn0.076900Se0.153800Rb0.076900 -1.3713382
Na0.500000Ce0.250000Lu0.250000 0.36760896
Ga0.250000Nb0.250000Nd0.500000 0.11835695
Ga0.500000Pm0.250000Ir0.250000 -0.51154659
I0.250000Ce0.750000 -0.23753489
Eu0.250000Dy0.250000Hf0.500000 0.54421638
Li0.500000As0.250000Hg0.250000 -0.41836586
Sc0.250000In0.500000Eu0.250000 -0.45371147
Be0.250000Ni0.500000Tb0.250000 0.085267886
Dy0.250000Re0.500000Pa0.250000 0.12387081
O0.263200Sb0.263200La0.473700 -2.349806
Si0.250000In0.250000Er0.500000 -0.37357961
O0.571400Dy0.142900Ir0.285700 -1.3528376
Mg0.500000Al0.250000Cr0.250000 0.14257862
Cs0.250000Lu0.500000Au0.250000 0.26094031
B0.666700Y0.166700W0.166700 -0.58614327
Sr0.500000Zr0.250000Pm0.250000 0.5791849
Te0.666700Dy0.333300 -1.1509803
Tc0.500000Pm0.250000Au0.250000 0.5527175
Mg0.250000Cr0.250000As0.250000Lu0.250000 0.017869089
O0.478300Na0.347800Y0.173900 -2.419866
Y0.250000Sn0.500000Tb0.250000 -0.4483496
Na0.250000Au0.500000Pu0.250000 -0.35156166
Be0.250000Cu0.250000Pd0.250000Tl0.250000 0.14034013
Mg0.500000Tm0.250000Re0.250000 0.38555171
Ni0.250000Re0.250000Th0.500000 -0.049178294
Tc0.250000Cd0.250000Tb0.500000 0.23973413
Sr0.250000Y0.250000Pu0.500000 0.50085983
Li0.250000Cr0.250000Zn0.250000Ru0.250000 0.08657684
Ce0.250000Os0.250000Th0.500000 0.23864121
Ge0.500000Sb0.500000 0.14119576
As0.250000Y0.250000Bi0.500000 -0.027922105
Cu0.250000I0.750000 0.081764156
Pm0.500000Au0.250000Th0.250000 -0.019279854
Co0.250000Sb0.250000Hf0.250000Hg0.250000 0.20800723
Li0.250000Co0.250000Pd0.250000In0.250000 -0.16887343
Ca0.250000Cd0.500000Dy0.250000 -0.34304315
Zn0.250000Rb0.250000Eu0.500000 0.18617484
In0.500000Nd0.250000Au0.250000 -0.34299144
Li0.250000Ti0.250000Co0.250000Zn0.250000 -0.12442444
P0.333300Rh0.666700 -0.84527163
Cr0.250000Ge0.250000Ta0.250000W0.250000 0.17107994
Mg0.250000Ge0.500000Rb0.250000 0.30751834
As0.500000Br0.500000 0.31100189
Cr0.250000Ga0.250000Nb0.250000Ru0.250000 -0.21205094
V0.250000Cr0.250000As0.250000Zr0.250000 -0.0023242688
Sr0.250000Os0.250000Pt0.500000 0.44376264
B0.666700Mn0.166700Ho0.166700 -0.6650506
Br0.250000Ta0.750000 0.65363312
Sc0.500000Lu0.250000Ir0.250000 -0.30691811
Cs0.500000Pu0.500000 0.89548167
Ti0.500000Tm0.250000Tl0.250000 0.1834476
Mg0.500000Ca0.250000Cs0.250000 0.27484099
Mn0.250000Co0.250000Cu0.250000Ge0.250000 -0.026180047
Ga0.250000Rb0.500000La0.250000 0.6354591
Ce0.250000Ho0.500000Tm0.250000 0.13300726
O0.571400Ga0.142900Pr0.285700 -2.7740533
Be0.250000Fe0.250000Ge0.250000Ag0.250000 0.35784555
Cr0.250000Zn0.250000Y0.250000Tc0.250000 0.29335219
Tc0.250000Eu0.250000Os0.500000 0.58479839
Ru0.250000Cd0.250000Gd0.500000 -0.26100854
Na0.250000Tb0.500000U0.250000 1.1677388
Fe0.250000Rh0.500000Os0.250000 0.39346268
K0.250000V0.500000Co0.250000 1.4609179
Cu0.250000Cd0.250000Np0.500000 0.66123576
Tc0.250000Pm0.500000Sm0.250000 0.31358553
Zr0.250000Nd0.500000Pt0.250000 -0.14185301
Ca0.500000Cu0.250000Hg0.250000 -0.26705058
As0.250000In0.250000Cs0.500000 0.045992209
Fe0.500000As0.250000Np0.250000 0.13818909
V0.500000Fe0.250000Au0.250000 0.19963272
Na0.333300Mo0.333300Nd0.333300 1.5040394
H0.750000Ge0.250000 0.57287611
Cu0.250000Sn0.250000Ta0.250000Hg0.250000 0.53514868
Fe0.250000Cu0.250000Ir0.500000 0.29812546
Ga0.500000Te0.250000Ir0.250000 0.36773519
Cu0.250000Tc0.250000Au0.500000 0.37763391
Ti0.250000Sm0.500000Os0.250000 0.21351443
In0.750000Th0.250000 -0.3621371
S0.533300Mo0.400000Gd0.066700 -1.0588614
Si0.500000V0.250000Re0.250000 -0.17479355
Hf0.500000Bi0.250000U0.250000 0.35466016
O0.500000Sc0.250000Rb0.250000 -2.8882288
Cu0.250000Pb0.250000Th0.500000 -0.032879533
B0.714300W0.285700 0.25261516
H0.333300O0.333300Nd0.333300 -2.2935694
Sb0.250000Pr0.250000Au0.500000 -0.62652811
Cd0.250000Sn0.500000Lu0.250000 -0.19376136
Mo0.250000Ce0.500000Ir0.250000 0.30420704
Tc0.500000Pd0.250000Nd0.250000 0.54239419
Sb0.500000Ir0.250000Pu0.250000 -0.069786235
Fe0.250000Cu0.250000Nb0.250000Sb0.250000 0.15062472
Ca0.250000Tb0.500000W0.250000 0.8950824
Y0.250000Rh0.500000Yb0.250000 -0.72336399
Cu0.250000Sb0.250000Lu0.250000Hg0.250000 -0.14234181
Mg0.250000Co0.250000Hg0.250000Bi0.250000 0.3160769
Mn0.250000Cu0.250000As0.250000Cd0.250000 0.26597796
F0.600000Zn0.200000Rb0.200000 -2.7935025
Be0.500000Yb0.250000Ta0.250000 0.56381571
In0.250000La0.250000Ce0.500000 -0.14088402
Na0.250000Rb0.250000La0.500000 0.60579363
Si0.250000K0.250000Ni0.500000 0.6657086
Ti0.250000Fe0.250000Ru0.250000In0.250000 -0.20343221
Zn0.250000Mo0.500000Sm0.250000 0.69148984
O0.222200Mn0.333300As0.222200Sr0.222200 -1.494574
Ca0.250000Ni0.250000Nb0.500000 0.73861684
Cu0.500000La0.500000 -0.16925948
Nb0.250000Ag0.250000Ce0.500000 0.31896323
Zr0.250000Sm0.500000Os0.250000 0.30235239
Ge0.250000Cd0.500000Yb0.250000 -0.20594977
Tc0.500000La0.250000Hg0.250000 0.64511217
Sc0.250000Fe0.250000Cu0.500000 0.057186601
Ti0.500000Tb0.500000 0.39096541
Mg0.250000Co0.250000Sb0.250000Hg0.250000 0.23262622
O0.571400Sr0.285700Ce0.142900 -2.9075138
Be0.250000As0.500000W0.250000 0.57387986
Al0.500000Zr0.250000Lu0.250000 -0.30183939
Mn0.250000Dy0.500000U0.250000 0.58385587
Li0.500000Te0.250000Bi0.250000 -0.41550156
Sr0.500000Ce0.250000Tm0.250000 0.26029863
Te0.500000La0.250000Re0.250000 0.053785087
Ag0.500000Sm0.250000Tb0.250000 -0.12750792
Ga0.250000W0.250000Tl0.500000 1.1134298
Rh0.500000Nd0.250000U0.250000 -0.31744804
Sc0.250000Ti0.250000Co0.500000 -0.36319208
Fe0.250000Rb0.500000Sb0.250000 0.7653481
S0.571400Co0.142900In0.285700 -0.56374112
Ca0.250000Ge0.500000Pm0.250000 -0.53693602
Zn0.250000Te0.750000 0.13068828
Mg0.250000Cu0.500000Ge0.250000 -0.03341964
Ni0.500000Ag0.250000U0.250000 0.1138465
Si0.500000V0.250000Tl0.250000 0.74182102
Sc0.250000In0.500000Ir0.250000 -0.3376655
Na0.250000Cd0.500000Au0.250000 -0.2256195
Zn0.500000Y0.250000Os0.250000 -0.022126364
Te0.250000W0.250000Bi0.500000 1.0642909
K0.250000Ga0.250000Pr0.500000 0.15004582
Cu0.250000Zr0.250000Pd0.500000 -0.49884905
Li0.315800B0.157900O0.473700Yb0.052600 -2.5147008
Cu0.250000Sr0.250000Rh0.500000 0.28180786
Mn0.250000Te0.500000Pr0.250000 -0.51589334
Y0.500000Pr0.250000Pa0.250000 0.36985524
Nb0.500000Gd0.250000Ir0.250000 0.0055140856
Mg0.750000Si0.250000 -0.008546005
Mn0.250000Ba0.250000Pr0.500000 0.79277411
Si0.250000Ge0.250000Ba0.500000 -0.15958646
Si0.500000Sr0.250000Pr0.250000 -0.21288008
Zr0.250000Ce0.250000Re0.500000 0.47478961
Be0.250000Nd0.250000Bi0.500000 0.22502735
Hf0.500000Th0.250000Np0.250000 0.71889058
V0.250000Cr0.250000Pd0.250000Sn0.250000 0.10609097
Sc0.250000Co0.250000Sn0.500000 -0.12657929
Si0.500000Ga0.250000Pt0.250000 0.072462771
Li0.500000La0.250000Hg0.250000 -0.16034777
Ce0.600000Pt0.400000 -0.88043233
Mn0.250000Cu0.250000Zn0.250000Hg0.250000 0.18051482
Ag0.250000Nd0.250000Ir0.500000 0.11508955
O0.600000Rb0.200000Mo0.200000 -2.173853
Ce0.500000Eu0.250000Hf0.250000 0.32070544
Se0.333300Ag0.333300Tl0.333300 -0.24080375
Cu0.250000Nb0.250000Sn0.250000W0.250000 0.32568591
P0.333300Fe0.571400Dy0.095200 -0.7997391
Ni0.250000Zn0.500000Hg0.250000 0.10319989
Na0.250000Ru0.500000Lu0.250000 0.4718891
K0.500000Ce0.250000Pm0.250000 0.73380666
B0.250000Te0.500000Sm0.250000 0.24774991
La0.250000Hg0.500000Bi0.250000 -0.40754759
Al0.250000Ga0.500000Rb0.250000 0.2995029
Zn0.500000Rh0.250000Cd0.250000 -0.15623781
Zr0.250000Pb0.500000Bi0.250000 0.3109972
B0.857100Yb0.142900 -0.46426169
Fe0.250000Co0.250000Tm0.500000 0.072105215
Cs0.500000Ce0.250000Ir0.250000 1.1384619
Fe0.250000Co0.250000Ge0.250000Pd0.250000 -0.071540779
Sr0.250000Yb0.500000Ac0.250000 0.049171328
Al0.250000Cr0.250000Fe0.250000Pt0.250000 -0.30087432
Rh0.500000Nd0.250000Pm0.250000 -0.65482159
Ti0.250000Dy0.500000Th0.250000 0.3378316
Al0.250000Zr0.500000Gd0.250000 -0.0066063169
Pd0.500000Lu0.250000Au0.250000 -0.79065902
Ni0.500000Cs0.250000Ta0.250000 1.4659736
Cr0.250000Ge0.500000Tb0.250000 0.19783798
K0.500000Sn0.250000U0.250000 0.95158938
K0.250000Cs0.250000W0.500000 3.0642204
Fe0.250000Dy0.500000Au0.250000 -0.26820603
Ge0.250000In0.250000La0.500000 -0.53843963
Ti0.500000Co0.250000Gd0.250000 0.2457901
Sb0.250000Lu0.250000Ac0.500000 -0.1997478
As0.250000Tl0.250000Pb0.500000 0.17769607
Be0.142900F0.571400K0.285700 -3.3155787
Ge0.500000Au0.250000Th0.250000 -0.24738413
Fe0.250000Ga0.500000La0.250000 -0.087800493
Ga0.250000W0.500000Pt0.250000 0.16809797
V0.666700Ta0.333300 -0.1135954
Co0.500000Lu0.250000Au0.250000 -0.062225829
Eu0.500000Ir0.250000U0.250000 0.45316708
Sc0.250000Cr0.250000In0.250000Os0.250000 0.038072889
H0.307700O0.153800Cl0.307700Cu0.076900Rb0.153800 -1.3486924
Na0.250000Ba0.500000Er0.250000 0.25536514
Cr0.250000Nb0.250000In0.250000Hf0.250000 0.20523872
Li0.250000Sc0.500000Tb0.250000 0.41604519
Ge0.250000Tb0.250000Np0.500000 0.59354209
Be0.250000Eu0.500000Gd0.250000 0.48782414
K0.250000Ru0.250000Ag0.500000 0.91918012
Ti0.500000Sr0.250000Sn0.250000 0.24783061
Sb0.500000La0.250000Pt0.250000 -0.3899872
Be0.250000Fe0.250000Zn0.250000Ga0.250000 0.14542723
Ni0.250000Sr0.500000Cs0.250000 0.53272767
Mg0.250000Eu0.250000Er0.500000 0.098492126
Al0.500000V0.250000Hf0.250000 -0.095044276
As0.500000Cs0.250000Yb0.250000 -0.13119276
Fe0.250000Ru0.250000Rh0.500000 0.33436526
Mn0.500000Zn0.250000Pu0.250000 0.49578626
B0.250000Ga0.250000Sm0.500000 0.01801771
Cu0.250000Ag0.500000Ir0.250000 0.47877734
La0.250000Nd0.250000Yb0.500000 0.088169086
In0.250000Os0.250000Tl0.500000 0.95234973
Ru0.750000Lu0.250000 0.066886816
Gd0.500000Lu0.250000Au0.250000 -0.16757371
Rh0.500000Sm0.250000Lu0.250000 -0.83771028
Ti0.600000La0.400000 0.64260875
Ca0.500000Sc0.250000Th0.250000 0.35738226
Mo0.250000Tm0.250000Tl0.500000 0.38893767
O0.600000Na0.050000Ba0.200000Bi0.150000 -2.0607487
Si0.400000Lu0.200000Pt0.400000 -0.97824625
Ca0.250000Ti0.250000Ge0.500000 -0.21343773
Ni0.750000Y0.083300In0.166700 -0.23342625
Co0.250000Rb0.500000Gd0.250000 1.4656501
Rb0.250000Tc0.500000Rh0.250000 1.6768522
Ca0.500000V0.250000Y0.250000 0.81321063
Ba0.250000Gd0.500000Lu0.250000 0.32245361
Rb0.500000La0.250000Hf0.250000 1.3741008
As0.750000Yb0.250000 -0.41950847
Cu0.250000Pd0.250000Sb0.250000Hf0.250000 -0.2757908
Hg0.250000Pa0.500000Pu0.250000 0.12831726
Rb0.500000Rh0.250000Ta0.250000 2.0817353
Ti0.250000As0.250000Pm0.500000 -0.19698263
La0.250000Lu0.500000Hf0.250000 0.24081676
V0.250000In0.250000Os0.500000 0.17995391
Li0.222200O0.555600Sm0.222200 -2.4937624
Fe0.500000In0.250000W0.250000 0.27315932
Ni0.250000Sn0.250000Tb0.500000 -0.13961205
Ag0.250000Cd0.500000W0.250000 0.80843436
B0.250000Fe0.250000Hf0.250000Hg0.250000 0.60959321
Al0.250000Dy0.250000Hg0.500000 -0.24720039
Pd0.250000Ag0.250000Au0.500000 -0.049029964
La0.500000Sm0.250000Gd0.250000 0.10749894
Ca0.250000Pm0.250000Tb0.500000 0.49480143
Ge0.250000In0.250000Os0.500000 0.46924698
Al0.250000Si0.500000Bi0.250000 0.57045111
K0.250000Sc0.500000Rb0.250000 1.0337615
Si0.250000Rh0.500000Sm0.250000 -0.59394005
Zn0.250000Dy0.500000U0.250000 0.4995534
Ca0.250000Nb0.500000Hg0.250000 0.77838905
Pb0.250000Pa0.500000U0.250000 0.38640472
Li0.500000Ni0.250000Pr0.250000 0.19626322
Al0.500000Ti0.250000As0.250000 0.21069402
Na0.500000In0.250000Te0.250000 -0.44375327
Pd0.250000W0.250000Pa0.500000 0.033983225
O0.363600Cl0.181800Fe0.181800Sr0.272700 -2.4149438
Ni0.500000Yb0.250000W0.250000 0.30506056
Ti0.250000V0.500000Mo0.250000 -0.030562397
Sr0.500000Te0.250000Lu0.250000 -0.13257263
Tc0.250000Eu0.250000Yb0.500000 0.38404473
Si0.250000Ru0.500000Er0.250000 -0.44204574
Sc0.250000Co0.500000Y0.250000 -0.20347697
K0.250000Sb0.500000Ba0.250000 -0.45753862
B0.500000Ag0.250000Ac0.250000 0.86511614
O0.589700Co0.205100Sr0.205100 -1.9318149
O0.600000Ti0.100000Fe0.100000Bi0.200000 -2.0413574
Ca0.250000Sc0.250000Re0.500000 0.86905079
Cu0.500000Tc0.500000 0.25968499
Rb0.250000Mo0.250000Ir0.500000 1.4207415
Na0.500000La0.250000Ta0.250000 1.0557073
Ag0.250000Ta0.250000Np0.500000 0.78074588
Al0.250000Ac0.750000 -0.041928863
Be0.250000Ga0.500000Tb0.250000 0.13086171
Ti0.125000Cu0.500000Zn0.125000Ge0.250000 -0.042924881
Pd0.250000Yb0.250000Ac0.500000 -0.097561046
V0.250000Co0.250000Zn0.250000Au0.250000 0.080940685
Ca0.250000Fe0.500000Rb0.250000 1.2742814
Li0.250000Ga0.250000Rh0.500000 -0.53589447
Zr0.500000Gd0.250000Re0.250000 0.14947172
V0.500000Zn0.250000Pa0.250000 0.15131832
Sm0.250000Tm0.250000Bi0.500000 -0.5976395
Ge0.500000Pm0.250000Th0.250000 -0.52788909
S0.500000Cs0.250000Ce0.250000 -1.9404037
Be0.500000Sn0.250000Pt0.250000 0.04938534
Sb0.250000Ce0.250000U0.500000 0.45696013
Al0.250000Ru0.500000Lu0.250000 -0.47320424
Rb0.500000Mo0.250000Lu0.250000 1.6953773
As0.500000Ru0.250000Tb0.250000 -0.26700967
Rh0.250000Ho0.500000Au0.250000 -0.84854531
Fe0.500000Te0.250000Eu0.250000 0.18611911
Mo0.250000In0.250000Pb0.500000 0.84826226
Cu0.250000Ag0.250000Hg0.250000Tl0.250000 0.24386664
Sb0.250000Pt0.500000Th0.250000 -0.82793506
O0.571400Na0.285700Ho0.142900 -1.6529117
O0.625000Mn0.125000Se0.250000 -1.3870559
Nb0.500000Nd0.250000Eu0.250000 0.8179287
Y0.250000Rh0.500000Ac0.250000 -0.62413038
Si0.250000Pd0.250000Pr0.500000 -0.5999444
Mg0.500000Co0.250000Gd0.250000 0.23565508
Rb0.500000Mo0.250000Ta0.250000 2.9702865
Ge0.250000Zr0.250000Bi0.500000 0.20251065
Al0.250000Ru0.500000Pr0.250000 -0.12019703
Na0.250000Ni0.500000Sn0.250000 0.0072598632
Si0.250000Hf0.250000Ta0.500000 -0.072735598
Ti0.250000Cu0.250000Y0.500000 0.16537362
O0.571400Pd0.285700Er0.142900 -1.4572276
Ca0.500000Cr0.250000Sn0.250000 -0.090597047
Eu0.500000Ac0.250000Pa0.250000 0.57760758
O0.750000W0.250000 -2.4506611
Na0.500000Cu0.250000Ta0.250000 1.3899042
Ga0.250000Ge0.500000Ru0.250000 0.21784783
Fe0.125000Cu0.625000As0.250000 0.2114029
K0.250000Cr0.500000Ge0.250000 0.89291786
Pd0.250000Te0.500000Ho0.250000 -0.65746583
